dataset,metric,new_mean,new_std,old_flat_mean,old_flat_std_sample,delta_pp,t,df,p,p_holm,cohens_d,ci95_pp,sig,old_pm_mean,delta_pm_pp,p_pm,p_pm_holm
CHB-MIT,pr_auc,0.475868,0.013196524921357134,0.45657,0.014623884572848625,1.9298000000000037,2.190674900664426,7.917075820104061,0.060205327332035936,0.29993244756699455,1.38550445981254,2.0351048553340743,ns,0.46393,1.1938000000000004,0.5397625578018601,1.0
TUAB,pr_auc,0.90907,0.003759208693328965,0.88428,0.004438594935337083,2.479000000000009,9.529996006843025,7.788927838831021,1.4554752263947315e-05,0.00016010227490342047,6.027298694786711,0.6026929763745609,***,0.91141,-0.23400000000000087,0.26811722651060543,1.0
SHU-MI,pr_auc,0.689048,0.051152010419923864,0.66185,0.018000347218873308,2.7197999999999944,1.1215234957080649,4.975701892675924,0.31325317090307875,0.9397595127092362,0.709313739166312,6.2430703173112345,ns,0.66889,2.015800000000001,0.42855850286195,1.0
Mumtaz2016,pr_auc,0.979726,0.004121301978744108,0.98067,0.001800034721887331,-0.09440000000000559,-0.46936423469455135,5.472514337916346,0.6569208496901171,1.0,-0.29685200677132156,0.5038610241501449,ns,,,,
MentalArithmetic,pr_auc,0.7249099999999999,0.06991359631716854,0.57394,0.0690050577856435,15.096999999999994,3.436535228151807,7.998631628237288,0.008871282372517098,0.07097025898013679,2.1734557160732204,10.130779645685296,ns,0.69924,2.566999999999997,0.5101900222164957,1.0
TUEV,kappa,0.742764,0.014151834863366648,0.72625,0.004762824792074552,1.6514000000000029,2.4730041586632843,4.894658682285211,0.057377174018346924,0.29993244756699455,1.5640651608888805,1.7277309569170718,ns,,,,
ISRUC,kappa,0.7875400000000001,0.0028967136551616506,0.77854,0.003096954148837209,0.9000000000000119,4.745780081834106,7.964521176166783,0.0014709686122840924,0.013238717510556832,3.001494866571211,0.43765493203092715,*,0.78255,0.4990000000000161,0.05460887734506839,0.32765326407041034
FACED,kappa,0.37443799999999994,0.012181562707633218,0.30969,0.008016303699336747,6.474799999999991,9.92834906723784,6.917329745380259,2.4274652761955086e-05,0.00024274652761955087,6.279239291535958,1.5458401168411573,***,0.20305,17.138799999999993,3.3747204327058476e-08,3.037248389435263e-07
SEED-V,kappa,0.22759000000000001,0.010500304757482041,0.24419,0.005031152949374527,-1.6599999999999975,-3.1879613985497426,5.7446728413785735,0.02005034611494608,0.14035242280462257,-2.0162438224225987,1.2879828126402826,ns,0.24613,-1.8539999999999974,0.012876264707634831,0.09013385295344381
PhysioNet-MI,kappa,0.516938,0.0063044682567207945,0.43634,0.007803877241474267,8.059800000000001,17.96425612938678,7.661539254531531,1.5401139437406657e-07,1.848136732488799e-06,11.36159316790054,1.0426161686223017,***,0.4711,4.583799999999999,0.0009786750461388955,0.007829400369111164
BCIC2020-3,kappa,0.520998,0.04601735183601943,0.57733,0.012622603732986314,-5.633200000000005,-2.6397672639003735,4.598539669211893,0.04998874126116576,0.29993244756699455,-1.6695354093351917,5.632779758779624,ns,0.50267,1.832800000000001,0.459124110895444,1.0
HMC,kappa,0.698676,0.003639358459948699,0.69805,0.001755313362337335,0.06260000000000154,0.34643256371501324,5.765474950674117,0.741309031344753,1.0,0.21910319139816903,0.44655100176975715,ns,,,,
