dataset,metric,new_mean,new_std_sample,old_flat_mean,old_flat_popstd,delta_pp
CHB-MIT,ba,0.72044,0.01957,0.72782,0.01053,-0.74
CHB-MIT,pr_auc,0.47587,0.01320,0.45657,0.01308,+1.93
CHB-MIT,roc_auc,0.91161,0.00794,0.90536,0.01143,+0.63
TUAB,ba,0.82019,0.00342,0.80491,0.00409,+1.53
TUAB,pr_auc,0.90907,0.00376,0.88428,0.00397,+2.48
TUAB,roc_auc,0.90424,0.00274,0.87591,0.00522,+2.83
SHU-MI,ba,0.63017,0.03695,0.59568,0.00959,+3.45
SHU-MI,pr_auc,0.68905,0.05115,0.66185,0.01610,+2.72
SHU-MI,roc_auc,0.69084,0.05055,0.63474,0.01334,+5.61
Mumtaz2016,ba,0.91119,0.01111,0.90721,0.01520,+0.40
Mumtaz2016,pr_auc,0.97973,0.00412,0.98067,0.00161,-0.09
Mumtaz2016,roc_auc,0.97671,0.00526,0.97880,0.00213,-0.21
MentalArithmetic,ba,0.75069,0.05187,0.71181,0.03534,+3.89
MentalArithmetic,pr_auc,0.72491,0.06991,0.57394,0.06172,+15.10
MentalArithmetic,roc_auc,0.84980,0.04843,0.76186,0.03888,+8.79
TUEV,ba,0.72607,0.01513,0.72170,0.00621,+0.44
TUEV,kappa,0.74276,0.01415,0.72625,0.00426,+1.65
TUEV,f1,0.86550,0.00613,0.85629,0.00293,+0.92
ISRUC,ba,0.81300,0.00306,0.80575,0.00168,+0.72
ISRUC,kappa,0.78754,0.00290,0.77854,0.00277,+0.90
ISRUC,f1,0.83492,0.00259,0.82864,0.00207,+0.63
FACED,ba,0.44643,0.01143,0.38672,0.00711,+5.97
FACED,kappa,0.37444,0.01218,0.30969,0.00717,+6.47
FACED,f1,0.44454,0.01099,0.38489,0.00711,+5.97
SEED-V,ba,0.38070,0.00716,0.39298,0.00351,-1.23
SEED-V,kappa,0.22759,0.01050,0.24419,0.00450,-1.66
SEED-V,f1,0.38764,0.00946,0.40163,0.00378,-1.40
PhysioNet-MI,ba,0.63773,0.00473,0.57728,0.00524,+6.04
PhysioNet-MI,kappa,0.51694,0.00630,0.43634,0.00698,+8.06
PhysioNet-MI,f1,0.63864,0.00459,0.57740,0.00604,+6.12
BCIC2020-3,ba,0.61680,0.03681,0.66187,0.00903,-4.51
BCIC2020-3,kappa,0.52100,0.04602,0.57733,0.01129,-5.63
BCIC2020-3,f1,0.61692,0.03680,0.66180,0.00892,-4.49
HMC,ba,0.74762,0.00363,0.74744,0.00321,+0.02
HMC,kappa,0.69868,0.00364,0.69805,0.00157,+0.06
HMC,f1,0.76340,0.00195,0.76428,0.00059,-0.09
