dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
BCIC2020-3,cbramod,seed42,done,0.0001,32,30,27,kappa,0.49333,kappa,f1,0.588,0.485,0.58791,0.4216,0.0163,0.06340000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/bcic2020_3/20260919_073843_bcic2020_3_pid3306765.log
BCIC2020-3,cbramod,seed43,done,0.0001,32,30,30,kappa,0.495,kappa,f1,0.58533,0.48167,0.58449,0.4216,0.0163,0.06007000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/bcic2020_3/20260919_074238_bcic2020_3_pid3307710.log
BCIC2020-3,cbramod,seed44,done,0.0001,32,30,27,kappa,0.51667,kappa,f1,0.6,0.5,0.5997,0.4216,0.0163,0.07840000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/bcic2020_3/20260919_074621_bcic2020_3_pid3308639.log
BCIC2020-3,cbramod,seed45,done,0.0001,32,30,28,kappa,0.51167,kappa,f1,0.58933,0.48667,0.58909,0.4216,0.0163,0.06507000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/bcic2020_3/20260919_075005_bcic2020_3_pid3309560.log
BCIC2020-3,cbramod,seed46,done,0.0001,32,30,29,kappa,0.49333,kappa,f1,0.61333,0.51667,0.61304,0.4216,0.0163,0.09506999999999999,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/bcic2020_3/20260919_075354_bcic2020_3_pid3310496.log
CHB-MIT,cbramod,seed42,done,0.0001,32,10,8,pr_auc,0.44497,pr_auc,roc_auc,0.71697,0.34979,0.89502,0.3689,0.0382,-0.019110000000000016,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/chb_mit/20260919_040722_chb_mit_pid3255225.log
CHB-MIT,cbramod,seed43,done,0.0001,32,10,10,pr_auc,0.40433,pr_auc,roc_auc,0.73308,0.42292,0.9033,0.3689,0.0382,0.05402000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/chb_mit/20260919_041312_chb_mit_pid3257052.log
CHB-MIT,cbramod,seed44,done,0.0001,32,10,8,pr_auc,0.46959,pr_auc,roc_auc,0.7392,0.31415,0.89968,0.3689,0.0382,-0.05475000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/chb_mit/20260919_041910_chb_mit_pid3258667.log
CHB-MIT,cbramod,seed45,done,0.0001,32,10,8,pr_auc,0.47,pr_auc,roc_auc,0.74294,0.31816,0.8968,0.3689,0.0382,-0.05074000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/chb_mit/20260919_042503_chb_mit_pid3260142.log
CHB-MIT,cbramod,seed46,done,0.0001,32,10,10,pr_auc,0.47155,pr_auc,roc_auc,0.77696,0.43776,0.91303,0.3689,0.0382,0.06885999999999998,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/chb_mit/20260919_043050_chb_mit_pid3261623.log
