dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
FACED,cbramod,seed42,done,0.0001,32,50,43,kappa,0.55543,kappa,f1,0.55153,0.49338,0.55236,0.5041,0.0122,-0.010720000000000007,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/faced/20260918_093819_faced_pid3342822.log
FACED,cbramod,seed43,done,0.0001,32,50,40,kappa,0.54311,kappa,f1,0.55623,0.49835,0.55828,0.5041,0.0122,-0.005749999999999977,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/faced/20260918_095200_faced_pid3350889.log
FACED,cbramod,seed44,done,0.0001,32,48,38,kappa,0.5568,kappa,f1,0.55354,0.49347,0.55394,0.5041,0.0122,-0.010629999999999973,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/faced/20260918_100610_faced_pid3360822.log
FACED,cbramod,seed45,done,0.0001,32,34,24,kappa,0.56065,kappa,f1,0.55596,0.49635,0.55579,0.5041,0.0122,-0.007749999999999979,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/faced/20260918_102444_faced_pid3369693.log
FACED,cbramod,seed46,done,0.0001,32,43,33,kappa,0.5526,kappa,f1,0.54831,0.48799,0.54848,0.5041,0.0122,-0.016110000000000013,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/faced/20260918_103743_faced_pid3375051.log
HMC,cbramod,seed42,done,0.0001,32,19,9,kappa,0.70072,kappa,f1,0.7294,0.67392,0.7469,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/hmc/20260919_060521_hmc_pid3714157.log
HMC,cbramod,seed43,done,0.0001,32,17,7,kappa,0.70288,kappa,f1,0.72515,0.67295,0.74415,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/hmc/20260919_064322_hmc_pid3723563.log
HMC,cbramod,seed44,done,0.0001,32,16,6,kappa,0.70099,kappa,f1,0.73173,0.67845,0.74809,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/hmc/20260919_071708_hmc_pid3732022.log
HMC,cbramod,seed45,done,0.0001,32,17,7,kappa,0.69954,kappa,f1,0.72992,0.67736,0.74878,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/hmc/20260919_074910_hmc_pid3739847.log
HMC,cbramod,seed46,done,0.0001,32,17,7,kappa,0.69886,kappa,f1,0.7272,0.67334,0.74422,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/hmc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/hmc/20260919_082255_hmc_pid3748200.log
