split,channel,count,mean,std,min,max
train,FP1,5768000,4.0523864366475495e-11,19.72839891574051,-3217.191162109375,1668.5218505859375
train,FP2,5768000,7.440883015846939e-10,171.7362950319524,-26742.703125,318105.9375
train,FZ,5768000,3.343325139070548e-09,96.0946395048187,-211114.5,34079.23046875
train,F3,5768000,-3.439558372240845e-08,1213.666266012219,-249360.734375,309513.875
train,F4,5768000,-2.2107626309162165e-09,130.96452520066865,-49438.375,203824.859375
train,F7,5768000,-2.9310147502967377e-10,10.86936342918281,-1326.373046875,593.0342407226562
train,F8,5768000,4.523511180919058e-09,650.7797379387066,-240685.359375,53842.6015625
train,FC1,5768000,7.831642671726423e-10,12.802771994293067,-996.65185546875,603.3922729492188
train,FC2,5768000,-1.0159884162154195e-05,11.124726961189799,-1278.76611328125,1016.7020874023438
train,FC5,5768000,3.6430728194295657e-10,15.25312915499412,-9660.8154296875,1206.494873046875
train,FC6,5768000,-2.1343746668603264e-10,16.56219511273553,-2813.925048828125,784.9318237304688
train,CZ,5768000,-9.248243244740727e-10,19.853209780614456,-2099.839599609375,813.1077270507812
train,C3,5768000,-9.954225663808827e-13,14.977791734976561,-2411.119140625,910.7791137695312
train,C4,5768000,1.2180080874998584e-09,16.523230142760088,-3520.232421875,1137.4676513671875
train,T3,5768000,1.970919046571553e-10,14.20123319063372,-1407.908203125,1205.837890625
train,T4,5768000,-2.3284754931828615e-10,16.02091008706427,-2662.2607421875,874.1904296875
train,A1,5768000,1.612903837599428e-08,939.8065610656272,-203729.5,199669.0
train,A2,5768000,5.921126446536134e-09,130.50482504409746,-209488.234375,197024.140625
train,CP1,5768000,2.9483368441746806e-10,130.90836206733113,-202818.984375,210108.828125
train,CP2,5768000,1.8094234289530385e-09,93.37388782559636,-35726.26171875,208958.84375
train,CP5,5768000,-3.505628607533073e-09,94.51690484455698,-35273.87890625,206270.359375
train,CP6,5768000,-7.979766509626304e-09,246.56431583692438,-52453.0390625,324487.59375
train,PZ,5768000,-7.533165709337458e-09,211.1314689435003,-227147.828125,209600.296875
train,P3,5768000,-4.326114756359928e-09,95.27961939040938,-36070.88671875,210950.234375
train,P4,5768000,4.409901670006291e-10,93.99665938302952,-35870.515625,209811.578125
