split,subject,trials,count,mean,std,min,max,median_trial_std
train,1,492,12595200,1.4688040865382723e-10,13.814838042843482,-2616.615234375,1181.0469970703125,4.486227157823338
train,2,482,12339200,-5.066039092100324e-09,298.51936327734796,-320807.78125,324487.59375,8.89144776711219
train,3,484,12390400,-2.1368615061835743e-09,146.15103905869614,-49438.375,318105.9375,6.107951866646697
train,4,475,12160000,3.167020990931042e-10,465.2613980217748,-318219.21875,45402.56640625,6.583366236035048
train,5,475,12160000,-2.5643304235868673e-06,457.5675333152546,-240685.359375,53842.6015625,16.6171250240229
train,6,469,12006400,-5.593425979834579e-09,100.61035719929122,-249136.359375,46918.9453125,15.588761955504495
train,7,488,12492800,1.6451803487832938e-10,10.842089534448581,-4306.48388671875,722.2545166015625,3.341232307618289
train,8,479,12262400,-1.4309018733822992e-08,1057.6050426569238,-317494.53125,309513.875,3.1897345949116276
train,9,493,12620800,-1.7359966192183034e-08,569.5794901498801,-249976.828125,213965.53125,4.665262349338928
train,10,480,12288000,-6.681087020838038e-07,113.00336547065704,-227147.828125,32558.384765625,6.438920483005099
train,11,494,12646400,2.411143317707863e-10,15.164948212609831,-2010.677001953125,1311.0328369140625,4.4987224249654565
train,12,458,11724800,-4.770747478725579e-10,217.15285378861742,-203729.5,210950.234375,27.83654493560875
train,13,489,12518400,-2.916514861178618e-10,4.3505788760801645,-391.61102294921875,319.61444091796875,3.4237049927062317
train,14,479,12262400,5.294926883192599e-10,4.702586707850341,-227.3563232421875,270.4559020996094,3.5698737385854646
train,15,473,12108800,-1.5841942991996816e-06,11.30590085821431,-603.2152709960938,463.600830078125,10.084008252024953
val,16,486,12441600,-1.3615243615085096e-07,21.92473906401499,-4531.42236328125,4456.7119140625,4.058321481422508
val,17,493,12620800,2.95712733494996e-10,6.388330604274919,-294.4435729980469,511.5138244628906,4.093592144516722
val,18,494,12646400,-1.3850153550390264e-07,19.54478623981994,-4531.42236328125,4456.7119140625,3.6108639351423566
val,19,469,12006400,5.567951794528974e-09,9.655704180989401,-673.7232666015625,505.554443359375,7.798343889434889
val,20,489,12518400,-9.367658644439264e-07,5.856596761677461,-1053.810302734375,419.92388916015625,4.794276267010065
test,21,482,12339200,-6.074669820946277e-10,5.458238692141106,-425.0892639160156,282.0129699707031,3.3934814469429244
test,22,480,12288000,-1.3085267064396703e-10,2.1903786508777996,-74.75419616699219,98.74434661865234,1.8693458038205244
test,23,486,12441600,6.668612028379991e-10,9.106400435711187,-4382.7666015625,3014.850341796875,3.9955807948447735
test,24,437,11187200,-1.3481208350942051e-09,3.885893548019136,-224.8356475830078,252.0232696533203,2.8602592921458854
test,25,462,11827200,-1.0632299960426314e-06,4.2872325922337815,-303.8616638183594,196.0792694091797,3.536101438702528
