dataset,source,label,shape,sampling_rate_hz,duration_s,model_input_std,display_std_uv,display_scale_uv,overview_channels
CHB-MIT,val sample 14,0.0,"(16, 2000)",200,10.0,1.2895100116729736,41.264320373535156,129.60377502441406,"FP1-F7,T7-P7,P7-O1,F8-T8,P8-O2,FP1-F3,C3-P3,FP2-F4,F4-C4,P4-O2"
TUAB,val sample 3,0.0,"(16, 2000)",200,10.0,0.2590966820716858,8.291093826293945,22.839326858520508,"FP1-F7,T7-P7,P7-O1,F8-T8,P8-O2,FP1-F3,C3-P3,FP2-F4,F4-C4,P4-O2"
TUEV,val sample 0,5,"(16, 1000)",200,5.0,0.22558753192424774,7.218801021575928,19.849063873291016,"FP1-F7,T7-P7,P7-O1,F8-T8,P8-O2,FP1-F3,C3-P3,FP2-F4,F4-C4,P4-O2"
ISRUC,"val sequence 0, epoch 0",4,"(6, 6000)",200,30.0,0.2869260013103485,9.181632041931152,25.000024795532227,"F3-A2,C3-A2,O1-A2,F4-A1,C4-A1,O2-A1"
FACED,val sample 8,0,"(32, 2000)",200,10.0,0.25119486451148987,8.038235664367676,19.541624069213867,"FP1,F3,FC1,FC6,T3,A2,CP6,P4,PO4,O2"
SEED-V,val sample 19,4,"(62, 200)",200,1.0,0.37544554471969604,12.014257431030273,18.0029296875,"FP1,F3,FT7,FC4,CZ,CP3,P7,P4,PO4,CB2"
PhysioNet-MI,val sample 16,2,"(64, 800)",200,4.0,0.6648796200752258,21.276147842407227,57.217166900634766,"FC5,C5,CP5,FP1,AF8,F4,T9,P1,PO3,IZ"
SHU-MI,val sample 8,0.0,"(32, 800)",200,4.0,0.10326827317476273,3.3045847415924072,9.513126373291016,"FP1,F3,FC1,FC6,T3,A2,CP6,P4,PO4,O2"
BCIC2020-3,val sample 2,1,"(64, 600)",200,3.0,1.027567744255066,32.88216781616211,20.44452667236328,"FP1,FC5,C4,TP10,O1,AF8,FC3,C6,P1,PO8"
Mumtaz2016,val sample 13,0.0,"(19, 1000)",200,5.0,0.4024586081504822,12.87867546081543,29.431800842285156,"FP1,F3,C3,P3,O1,F7,T3,T5,FZ,PZ"
MentalArithmetic,val sample 22,0.0,"(20, 1000)",200,5.0,0.35364148020744324,11.316527366638184,28.824819564819336,"FP1,F3,F7,T3,C3,T6,P4,O2,CZ,A2-A1"
